freq,nace_r2,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,HTC,NR,BE	: @C	19456 	: @C	: @C	26962 	29505 	29183 	30213 	31882 	34499 	36313 b	40860 	: 
A,HTC,NR,BG	5957 	7441 	7623 	8183 	8843 	9620 	10333 	11258 	12333 	13230 	13977 b	14862 	: 
A,HTC,NR,CH	: 	6909 d	6836 bd	6883 d	6976 d	7783 d	8134 d	7890 	7938 	8130 	8161 	6868 	: 
A,HTC,NR,CY	507 	610 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,HTC,NR,CZ	33071 p	34984 	33476 	33816 	33965 	33992 	34900 	36510 	39774 	44393 	47926 	50746 	: 
A,HTC,NR,DE	89537 	89925 	92559 	99008 	100724 	105609 	121406 	126831 	129168 	138300 	138108 b	135757 	: 
A,HTC,NR,DK	11940 	12142 	13311 	14310 	14725 	15128 	15763 	15748 	16770 	17597 	18072 b	18610 	: 
A,HTC,NR,EE	1967 	2088 	2566 	3054 	3368 	3827 	4003 	4541 	4800 	5512 	5920 b	6625 	: 
A,HTC,NR,EL	14201 	14010 	: @C	13000 	12752 	12762 	25281 bp	24858 p	23064 p	19729 p	19754 b	20710 	: 
A,HTC,NR,ES	45155 	45102 	45321 	46746 	49345 	49430 	52784 	55194 	65399 	69532 	67452 b	69079 	: 
A,HTC,NR,EU27_2007	: @C	: @C	863921 du	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HTC,NR,EU27_2020	: 	: 	: 	759249 du	800164 de	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,HTC,NR,EU28	: 	: 	: 	916555 de	963360 du	1022042 du	: @C	1131859 du	1197381 de	: @C	: @C	: 	: 
A,HTC,NR,FI	8455 	8510 	8806 	9065 	9338 	9720 b	9823 	10239 	10380 	10837 b	11013 	11656 	: 
A,HTC,NR,FR	: @C	75272 	101586 	101611 	119072 	130856 	144825 b	121492 b	124697 	119944 b	: @C	137616 	: 
